uid,label,direction_kurtosis,direction_skew,direction_std,direction_x,direction_y,duration,e2e_distance,linearity,mean_step_speed,quadraticity,stddev_step_speed,track_length
lab_0_0,0,3.6982521391037757,-1.011196839915906,0.1477992544711319,-0.12451000000000002,-0.0513833333333334,300.0,40.40877174574849,0.9162293152235689,0.1730878285772176,-4455.642870809904,0.10014095198813815,51.926348573165285
lab_0_1,0,-0.007241679408574342,-0.8004294582292725,0.15033745360207337,-0.09082666666666664,-0.06180000000000007,300.0,32.95732246405949,0.928825918697984,0.1650476614328481,-11.584611673561442,0.08619363543140106,49.514298429854435
lab_0_2,0,1.0328979007053367,-0.13337160931330488,0.16347772960797305,-0.09812666666666663,-0.0387433333333333,300.0,31.649486141168218,0.9073712394820682,0.16738812570567846,-197.6457314867149,0.09917697333255542,50.216437711703534
lab_0_3,0,1.0787246772974037,0.5474700053892965,0.19643523077311983,-0.13278999999999996,-0.049596666666666685,300.0,42.52494808932751,0.880174788299265,0.21592692177618394,-19.327008590497073,0.10979698441029707,64.77807653285518
lab_0_4,0,5.505373593765565,-0.3566132206555739,0.13761916125469015,-0.005386666666666997,0.00018333333333335608,300.0,1.616935682085197,0.41184370377288326,0.09778595893060893,-2631286471.974908,0.0969844810748326,29.33578767918268
lab_0_5,1,1.2293784338491194,1.4749368844674582,1.663850473664715,0.7104786324786327,-2.8160683760683756,117.0,339.8043588243093,0.583565581525071,3.263915719831237,-31.35084619509299,0.7418042588539931,381.87813922025475
lab_0_6,1,-1.4140678724311062,-1.128566763200788,1.8957703641424481,-0.13233121019108324,0.9314777070063692,157.0,147.71040836718308,0.015061663295482489,1.9504918201789678,-1241.0764249085626,0.821394668120148,306.22721576809795
lab_1_0,1,0.30452934409306875,-0.776456223688418,4.218332637955955,-1.5666666666666667,2.796666666666667,300.0,961.6761409123136,0.9205320337816191,4.621280730051717,-3.1564200827630433,2.5911162743856155,1386.3842190155153
lab_1_1,0,-1.9346171923888928,-1.1111595099639038,0.030727186659373806,-0.12,0.02,300.0,36.49657518178932,0.6139031386494199,0.12528391629707983,-0.9904880988075018,0.0069354392266313195,37.58517488912395
lab_1_2,0,0.49840081883977616,0.001199481799549984,0.055903488263255904,-0.1,0.05,20.0,2.23606797749979,0.9999995098012339,0.11180397130839168,-23223.44129698617,0.05590234341843211,2.2360794261678336
lab_1_3,1,-1.0353845254962462,0.1977770368583135,4.517578854996458,-4.566666666666666,11.166666666666666,90.0,1085.7927979131193,0.9536010225143311,12.513858438965908,-8.405669084624375,3.0595350250522833,1126.2472595069316
lab_1_4,0,-1.1419790118069053,-0.26819995778458755,1.332994748676828,-5.65,2.525,40.0,247.54191564258366,0.9978829449351436,6.274431987095902,0.08020017370884458,0.8405374704959769,250.97727948383607
lab_1_5,1,-0.8811777167212109,-0.44189769173804083,8.000282341956463,0.026785714285714253,2.2767857142857144,112.0,255.01764644824092,0.2942947291046335,7.7445549672350165,-4931.133611575964,3.0349393031428376,867.3901563303218
lab_1_6,1,-1.042237168655289,0.4279085504045352,6.331472443251568,-11.623529411764705,-4.011764705882353,85.0,1045.1913700370856,0.87454802235471,13.423882295707177,0.3020048853380073,3.3298077200006366,1141.02999513511
lab_1_7,1,-0.5892500490726498,0.9619296846506811,2.8466940528146796,2.3191489361702127,-2.0851063829787235,47.0,146.57762448614045,0.9255683672578282,4.042375201204968,-3782.0208180154764,1.220241852868358,189.9916344566335
lab_1_8,1,-1.5702239606185855,0.14650299651783757,2.484325864293974,-0.625,-5.25,8.0,42.2965719651132,0.8450661853188932,5.361343395001338,-109824652.85978653,2.319697609792176,42.890747160010704
lab_2_0,1,-0.22579072886044216,0.7026450777646092,6.460434697553511,-1.0980392156862746,-7.372549019607843,51.0,380.1473398565351,0.28403385154551325,8.566769506125334,-38604.920030813,4.8895649986455805,436.905244812392
lab_2_1,1,-0.7452662393394429,0.6414067360257945,5.216495823281501,-0.25196850393700787,5.417322834645669,127.0,688.7437840009883,0.03184483386917996,6.789065377066827,-41.05678611354045,3.2451956492599114,862.211302887487
lab_2_2,1,1.1196853094711527,1.1147909228693076,3.779940591891021,-3.851063829787234,13.085106382978724,47.0,641.0818980442358,0.9821899441949606,14.027560283552868,-57.36414885572592,1.8884398440198866,659.2953333269847
lab_2_3,1,-0.6139801792516035,0.7193283813983911,6.33727714456708,2.4395604395604398,-5.956043956043956,91.0,585.702996406882,0.47715942551781715,8.696963940553196,-554.0036619313446,2.439224173454702,791.4237185903409
lab_2_4,0,-2.084200880865305,1.2141666741062833,0.015572979972884628,0.066006600660066,-0.026402640264026403,303.0,21.540659228538015,0.9447633242403374,0.0727721087289137,-50175.35914052955,0.0008418075742379896,22.04994894486085
lab_2_5,1,-1.9598795253821024,-0.4886318384068712,9.278658249138704,5.837837837837838,-10.35135135135135,37.0,439.7101317913882,0.848121694488067,14.69731889148386,-327.3863018465862,3.3635014087043094,543.8007989849028
lab_2_6,1,-1.1436796984153066,0.5290714031991242,9.095992911407677,-5.105769230769231,1.0576923076923077,104.0,542.2739160239961,0.16810554388521587,9.911454996930708,-87.79397093390062,3.4187335877218166,1030.7913196807935
lab_2_7,1,-1.5976534022948614,-0.12684492145244755,9.241089073952661,1.75,0.0,44.0,77.0,0.013635444939869764,8.528467844070706,-2037.345391523441,3.9655344539392483,375.25258513911103
lab_2_9,1,0.22880190753894647,-0.3299130593376404,6.637412122385055,9.782178217821782,1.6534653465346534,101.0,1002.0144709533889,0.7259365896219552,11.23574927563762,-1.5304666949564614,4.029657086503839,1134.8106768393995
lab_2_10,1,0.94078779327966,1.1735059712685174,7.571278828707923,-0.5714285714285714,4.0,21.0,84.8528137423857,0.18396450441125006,7.203504630840061,-26587989.802147787,4.664795252500532,151.27359724764128
lab_2_11,1,-1.4910888685121106,-0.9630283715555068,3.0872097754332897,10.777777777777779,15.555555555555555,9.0,170.3202865192517,0.9962825604784383,19.002322870005955,-17995.349008383597,2.5648376577700662,171.02090583005358
lab_2_12,1,-2.848073420612507,0.07032682815134586,3.344772040064913,-7.25,-7.0,4.0,40.311288741492746,0.9375559026526229,10.520108416386648,-2648665.2070388407,1.4412907088685463,42.08043366554659
lab_2_13,1,-0.8790647948440822,-0.457014471885953,7.268358343528859,3.3493150684931505,-0.8835616438356164,146.0,505.72917653621687,0.8216190206712944,7.549634571381651,-12.166587098219033,2.798328689599803,1102.246647421721
lab_2_14,1,0.491461842147344,0.7845926161847583,5.082978142782045,-7.3,-7.3,10.0,103.23759005323593,0.9947648121233748,10.466302716166888,-612.27205149065,4.782590747027977,104.66302716166888
lab_2_15,1,-1.0041429828126076,0.9767476571428221,11.200917623123562,-4.6,-1.65,120.0,586.436697351044,0.1927618562757931,11.716219677069347,-4.7437471223039545,3.474658555693355,1405.9463612483216
lab_2_16,1,-1.7659967369003584,-0.37894347383203436,8.234338168972156,6.636363636363637,1.4636363636363636,110.0,747.5433097821156,0.6729398417167288,10.36740019551718,0.202201315871813,2.5504689737360784,1140.4140215068896
lab_2_17,1,-1.667893363073048,0.5085163055198518,4.251183642031551,-2.7142857142857144,-9.80952380952381,21.0,213.74049686477292,0.86336143764062,10.690850662840187,-5802114.67560846,2.7152124726282807,224.50786391964394
lab_2_18,1,-0.3005596368781607,-0.3733847834989667,2.856800774208112,10.521739130434783,5.673913043478261,46.0,549.8881704492287,0.9874598760391551,12.157899982548983,-0.08153098075848875,1.8019606632018357,559.2633991972532
lab_2_19,1,0.1559117157748684,-1.0149480230542833,3.5854828193696227,9.41025641025641,4.256410256410256,39.0,402.7964746618322,0.9464535426424117,10.753185950308056,-0.8507614879144012,1.9734824406967584,419.3742520620142
lab_2_20,1,-0.5115318310838348,0.8559309578114385,8.177397048279305,-11.384615384615385,-2.9615384615384617,26.0,305.8512710452582,0.6604279797328777,13.92191464191693,-1.7435038320601115,3.3808715892768104,361.96978068984015
lab_3_0,1,-0.8006512185837109,-0.11005536223496731,5.142692211827215,-2.1780821917808217,2.328767123287671,73.0,232.76812496559748,0.8321484387588347,4.975789698580143,-1424.49079793199,3.4432540437426793,363.2326479963504
lab_3_1,0,180.0834264607724,-2.985976344556401,0.7864826707694696,-0.06354515050167224,0.013377926421404682,299.0,19.4164878389476,0.19453798471383268,0.1680123997266275,-24.069897578207108,0.7710666508327243,50.23570751826162
lab_3_2,0,-0.5148172141396925,-0.06517291020813176,0.04650913153954236,-0.013377926421404682,0.023411371237458192,299.0,8.06225774829855,0.13314440055651566,0.04838913049210189,-262026545.3927863,0.023423334206201123,14.468350017138466
lab_3_3,0,-0.025555717625044494,-1.9106983464248182,0.0717696976298517,0.010033444816053512,-0.013377926421404682,299.0,5.0,0.1392252969386622,0.05769329799128839,-305469.6616800978,0.04584770217777604,17.25029609939523
